symbol,crate,declared_in,status,evidence
audit_len,storage,crates/storage/src/vault.rs,TEST_ONLY,named only from tests: crates\storage\src\vault.rs
authoritative,domain,crates/domain/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, apps\desktop\src-tauri\src\lib.rs, crates\domain\src\lib.rs"
backup_once,storage,crates/storage/src/vault.rs,REACHABLE,named from crates\storage\src\vault.rs
backup_to,storage,crates/storage/src/vault.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
backup_vault,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
blob_count,storage,crates/storage/src/vault.rs,TEST_ONLY,named only from tests: crates\storage\src\vault.rs
boundary_by_id,domain,crates/domain/src/scope.rs,TEST_ONLY,named only from tests: crates\domain\src\scope.rs
bounded,provider_transport,crates/provider_transport/src/lib.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\provider_transport\src\lib.rs, crates\storage\src\vault.rs"
build_asset_readiness,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
build_commercialization_package,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
build_docx,patent,crates/patent/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
build_filing_package,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
build_manifest,patent,crates/patent/src/lib.rs,REACHABLE,named from crates\patent\src\lib.rs
build_pdf,patent,crates/patent/src/lib.rs,TEST_ONLY,named only from tests: crates\patent\src\lib.rs
build_repair_capsule,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
capture_crash,crash_reporter,crates/crash_reporter/src/lib.rs,REACHABLE,named from crates\crash_reporter\src\lib.rs
capture_crash_with_detail,crash_reporter,crates/crash_reporter/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
changed,evidence,crates/evidence/src/lib.rs,REACHABLE,named from crates\evidence\src\lib.rs
check_capability,mcp_hub,crates/mcp_hub/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
check_claim_text,domain,crates/domain/src/scope.rs,REACHABLE,"named from apps\desktop\src-tauri\src\commands.rs, crates\domain\src\scope.rs"
check_filing_handoff,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
check_mcp_capability,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
check_support_matrix,desktop,apps/desktop/src-tauri/src/commands.rs,ENTRY_POINT,registered in generate_handler![...]
check_system_health_with,application,crates/application/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\lib.rs
cite_art,patent,crates/patent/src/lib.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
claim_evidence_hashes,storage,crates/storage/src/vault.rs,REACHABLE,named from apps\desktop\src-tauri\src\commands.rs
